transaction_text,category
Uber ride INR 48648 TXNde8842f7,travel
Flipkart order INR 14678 TXN17584829,shopping
Home loan EMI INR 44398 TXN8962c016,emi
Netflix subscription INR 38748 TXNdce4ee96,entertainment
Hospital bill INR 2002 TXNb7e25951,healthcare
Ola cab INR 15297 TXN7d798774,travel
Netflix subscription INR 36831 TXN669163b3,entertainment
Crypto investment INR 27543 TXN08867891,investment
PPF contribution INR 38668 TXN3a7daa33,investment
Amazon purchase INR 49779 TXN8a35fd36,shopping
Credit card EMI INR 22348 TXNde07a709,emi
Flipkart order INR 14160 TXNae48f806,shopping
Electricity bill payment INR 6128 TXN3fd93d0f,utilities
Hospital bill INR 23576 TXNc040aea2,healthcare
Mobile recharge INR 17385 TXN9f819ad0,utilities
Pizza delivery INR 30158 TXN7046bb4e,food
Netflix subscription INR 24857 TXN711a75d6,entertainment
Hotel booking INR 19263 TXNbad3247d,travel
Mobile recharge INR 12651 TXNb45a19ab,utilities
Uber ride INR 43386 TXNc247dbad,travel
Fixed deposit investment INR 5279 TXNa5c6715e,investment
Mutual fund SIP INR 24961 TXN036423b4,investment
Electronics shopping INR 41710 TXNc9040796,shopping
Water bill INR 24310 TXNbb79ad67,utilities
Water bill INR 43970 TXNa72d2d89,utilities
Amazon purchase INR 39970 TXN825d7269,shopping
Bike loan EMI INR 47834 TXN7266f673,emi
Stock purchase INR 30344 TXN8167b559,investment
Pharmacy medicine purchase INR 41993 TXNe6413c59,healthcare
Movie ticket booking INR 44916 TXN1ff67b4e,entertainment
Electricity bill payment INR 15060 TXN091fa03c,utilities
Lunch at hotel INR 20723 TXN0e7b0598,food
Pharmacy medicine purchase INR 4387 TXN00b62650,healthcare
Crypto investment INR 47099 TXN607394c8,investment
Water bill INR 43004 TXN2a020d8f,utilities
Library fee INR 42179 TXNcaf921c9,education
Online course subscription INR 17409 TXN89080104,education
Car loan EMI INR 48873 TXN26d71f28,emi
Concert ticket INR 49006 TXN064dfb28,entertainment
Medical test charges INR 23773 TXN435f1c1b,healthcare
Stock purchase INR 33442 TXN29010e86,investment
College fees payment INR 49580 TXN64985d9e,education
Lunch at hotel INR 7235 TXNeaf2e96c,food
Car loan EMI INR 44646 TXNf415d543,emi
Hospital bill INR 25266 TXN26c9fff4,healthcare
Medical test charges INR 34726 TXN531012f3,healthcare
Online shopping payment INR 802 TXN2b9258b5,shopping
Bus ticket INR 35240 TXN3f601624,travel
Clothing store bill INR 7360 TXN0b82696c,shopping
Electronics shopping INR 10415 TXN54397d80,shopping
College fees payment INR 47373 TXNf315e8df,education
Online shopping payment INR 49985 TXNb95ce259,shopping
Bike loan EMI INR 7023 TXN866552b0,emi
Online shopping payment INR 39959 TXN02f3a2e2,shopping
Stock purchase INR 24554 TXN9b4b5e60,investment
Bike loan EMI INR 34807 TXNc017f2a8,emi
Food court payment INR 21293 TXN63855ef7,food
College fees payment INR 7381 TXNe50e551a,education
