transaction_text,category
Vehicle loan EMI INR 26797 TXNe5f40542,emi
Broadband payment INR 44907 TXNac7f2e45,utilities
Tata Cliq purchase INR 14750 TXNb83cc4ae,shopping
Practo consultation INR 32132 TXNb62877f8,healthcare
Workshop registration INR 25070 TXNa27faf23,education
Postpaid bill payment INR 34813 TXNd0e7afa0,utilities
Cab fare payment INR 32382 TXNfcb8c2e0,travel
Ola cab INR 45959 TXN1052b6ce,travel
Education loan installment INR 23291 TXN3a66eee9,emi
Bus ticket INR 32097 TXN55ec41a6,travel
Cab fare payment INR 21499 TXN1754cb35,travel
Two wheeler loan payment INR 38029 TXN85967fc4,emi
Starbucks coffee INR 36434 TXNcba7c13b,food
Library fee INR 2160 TXNe2f5a99d,education
Bowling alley INR 11787 TXN6a2911cc,entertainment
Hotstar subscription INR 33590 TXN67980a6b,entertainment
Mall purchase INR 44520 TXNa85083cc,shopping
Sewage charges INR 31012 TXNaaaa899e,utilities
Mobile recharge INR 35808 TXN3ce4f76b,utilities
Zepto groceries INR 34963 TXN6585dd1f,food
Apollo pharmacy INR 17645 TXN96cc9660,healthcare
Groww mutual fund INR 5607 TXNe9289a2a,investment
Burger King INR 18926 TXN7b1f9328,food
SpiceJet airlines INR 46395 TXN2370aeea,travel
Municipal tax payment INR 29124 TXN00e0616b,utilities
Cafe coffee INR 22922 TXNee52db9f,food
Laptop EMI payment INR 43236 TXN2b8a4b99,emi
Jio fiber broadband INR 33377 TXNf15d8287,utilities
Ajio clothing INR 5882 TXNeda218b1,shopping
Snapdeal buy INR 14032 TXNa54f978c,shopping
Gold loan EMI INR 5171 TXN2817080d,emi
Airtel postpaid payment INR 49708 TXNb1b392d4,utilities
Cult Fit subscription INR 46796 TXN1c39a46b,healthcare
Parking fee INR 5451 TXNa8211ef2,travel
Pantaloons purchase INR 1270 TXNdad9c304,shopping
Maintenance charges INR 43314 TXN0329ccca,utilities
Loan repayment INR 35191 TXN9f0bd122,emi
Byjus subscription INR 47586 TXN5666b64f,education
Monthly EMI debit INR 13862 TXN1bc037cf,emi
Vaccination fee INR 46190 TXNb33d6d97,healthcare
Barbeque Nation INR 18900 TXNa2759a64,food
Cab fare payment INR 16769 TXNcea1b0d0,travel
Exam fee INR 28996 TXN3a51d8ac,education
Mutual fund SIP INR 43083 TXN4755e84f,investment
Supermarket purchase INR 20653 TXNa31b7684,food
McDonalds meal INR 19859 TXN084f8b2d,food
Gym membership INR 1876 TXN7c9a5413,healthcare
Grofers online INR 48467 TXN520f8a6d,food
Water bill INR 35371 TXNd3ac2465,utilities
FASTag recharge INR 14188 TXN00c8a86b,travel
Ambulance charges INR 17178 TXNfb4a53f5,healthcare
Physiotherapy session INR 38031 TXN7c960d06,healthcare
Crypto investment INR 21957 TXN4108d5b5,investment
Maintenance charges INR 29736 TXN8693a59e,utilities
Dunzo food INR 35278 TXN27abf6b2,food
Chinese takeaway INR 44921 TXN7bac1c74,food
Netflix subscription INR 47580 TXN4301fadf,entertainment
Postpaid bill payment INR 47629 TXNa3b5ac12,utilities
Tata Power bill INR 29782 TXN9b374bec,utilities
Certification exam fee INR 22876 TXNc684b3d6,education
Credit card EMI INR 32501 TXN3c549b18,emi
Dental clinic charges INR 481 TXN3c5815c5,healthcare
Metro card recharge INR 10821 TXNeb88567c,travel
Hostel fees INR 33121 TXN071dff7e,education
Electronics shopping INR 24408 TXN44d7d9f1,shopping
Equity investment INR 13539 TXNf7e6bd99,investment
Blinkit delivery INR 17937 TXN605a6272,food
Croma electronics INR 33272 TXN3a637c7d,shopping
Stock purchase INR 2688 TXN2650afff,investment
Amazon purchase INR 49348 TXNb1ac6c30,shopping
Cafe Coffee Day INR 30476 TXNe462f471,food
Bond purchase INR 28134 TXN5c2567b2,investment
Bowling alley INR 44288 TXN78878204,entertainment
Burger King INR 37746 TXN90cd9c28,food
Credit card EMI INR 36114 TXN16288041,emi
Lifestyle store INR 4843 TXN411b752a,shopping
Blinkit delivery INR 40830 TXN8e9a16d2,food
Library fee INR 6160 TXN2a2d903e,education
Movie ticket booking INR 9985 TXNbe98f76d,entertainment
Hotstar subscription INR 34550 TXN3e4087a1,entertainment
Practo consultation INR 1883 TXNc290ee3d,healthcare
Recurring deposit INR 18544 TXN2130e33e,investment
Concert ticket INR 49887 TXNca2063be,entertainment
Udemy course purchase INR 4846 TXNaa756304,education
Society maintenance INR 8277 TXN210b76f1,utilities
OTT subscription INR 3974 TXN8522a465,entertainment
Mobile phone EMI INR 46333 TXN8822a97d,emi
Railway reservation INR 1329 TXNfc587e86,travel
Online shopping payment INR 1947 TXN2e300053,shopping
Ajio clothing INR 23657 TXNc5b1c0da,shopping
Theme park ticket INR 24130 TXN2f717a12,entertainment
Rapido bike ride INR 7445 TXN0a9ee319,travel
Vehicle loan EMI INR 24387 TXNda164095,emi
Furniture order INR 20619 TXN5e4fae73,shopping
Flight ticket booking INR 19385 TXN53f77f5b,travel
Index fund purchase INR 41054 TXN1a65ec20,investment
ELSS investment INR 18407 TXN951b7ffc,investment
Lab test diagnostic INR 42711 TXNf79053b9,healthcare
Car loan EMI INR 9749 TXNcef67189,emi
INOX movies INR 9120 TXNf317f9f3,entertainment
Mall purchase INR 35184 TXN654ac6c7,shopping
Byjus subscription INR 4718 TXN60e69364,education
Groww mutual fund INR 1622 TXN3654eaab,investment
Chinese takeaway INR 27350 TXN2a85f8c8,food
Pantaloons purchase INR 9249 TXN72fafb75,shopping
JioCinema plan INR 38531 TXN924f85e9,entertainment
Apollo pharmacy INR 10728 TXN66af24cb,healthcare
Education loan installment INR 19780 TXN44e72cd1,emi
Laptop EMI payment INR 39799 TXNa02172a8,emi
Myntra fashion order INR 26486 TXN03f3081b,shopping
Monthly EMI debit INR 26974 TXNb9432f3b,emi
Zomato dinner INR 25059 TXN9748fa1e,food
Car loan EMI INR 21632 TXNbc6be915,emi
Food court payment INR 48222 TXNc4c1dd3d,food
Train ticket IRCTC INR 18874 TXN5ae198be,travel
Airport taxi INR 48422 TXNbe0bf993,travel
Canteen payment INR 44542 TXN9ca11a4b,food
Zepto groceries INR 37974 TXN04af6b1b,food
Goibibo hotel INR 15958 TXN92624716,travel
Apollo pharmacy INR 20372 TXNe9515376,healthcare
KFC order INR 49133 TXNde774648,food
Demat account funding INR 6853 TXN10e1b98a,investment
Mall purchase INR 521 TXN63c61694,shopping
Broadband payment INR 36497 TXNac86698f,utilities
Cosmetics purchase INR 13847 TXN6c5679fa,shopping
Auto rickshaw INR 25894 TXN196f345c,travel
Airtel postpaid payment INR 37799 TXN1a655904,utilities
Upstox trading INR 38973 TXNd05119d2,investment
Doctor consultation INR 30778 TXN25babbb4,healthcare
Bike loan EMI INR 25285 TXN31398dc4,emi
Subway sandwich INR 36220 TXNc6edf36d,food
PharmEasy medicines INR 12317 TXN31f4a606,healthcare
Reliance Digital INR 29574 TXN798f0b86,shopping
Upstox trading INR 36643 TXN721e5dc2,investment
Lifestyle store INR 36325 TXNd2096813,shopping
Licious meat order INR 47290 TXNd6e6d6b5,food
Jewellery purchase INR 22330 TXNfcfed9bf,shopping
Groww mutual fund INR 35676 TXN1d148d2e,investment
Amazon purchase INR 30075 TXNe0b9c129,shopping
Bike loan EMI INR 13355 TXNc3424da2,emi
Cafe Coffee Day INR 5956 TXNe563ce58,food
McDonalds meal INR 20144 TXN41318c23,food
Movie ticket booking INR 7156 TXN2c3aeb11,entertainment
Demat account funding INR 24602 TXNc84a4eea,investment
Hospital bill INR 21518 TXNc362efe3,healthcare
NPS contribution INR 34583 TXN9bbb30f0,investment
Cafe coffee INR 48705 TXN849b3a47,food
Reliance Digital INR 10808 TXN7db6431d,shopping
Groww mutual fund INR 39347 TXN0ff1b5b3,investment
Air India ticket INR 11281 TXN1da5ffee,travel
Clinic visit INR 24577 TXN56aec9d4,healthcare
FASTag recharge INR 37299 TXN6827f190,travel
PharmEasy medicines INR 921 TXN27bdf979,healthcare
Blinkit delivery INR 15205 TXN6236570d,food
Decathlon sports INR 29845 TXNe0a1fa4b,shopping
Mobile phone EMI INR 35879 TXN497a1202,emi
Electricity bill payment INR 45319 TXN7951219e,utilities
Personal loan installment INR 33986 TXNcde91ab0,emi
School fees INR 45096 TXNb3d82a17,education
Medical test charges INR 41229 TXNf90faf5b,healthcare
Fixed deposit investment INR 40617 TXN5bf3b038,investment
Physiotherapy session INR 29088 TXNbadb9cb8,healthcare
Equity investment INR 11385 TXN3dbf1c92,investment
Footwear shop INR 7854 TXNb7b23658,shopping
Postpaid bill payment INR 18259 TXN4944b9eb,utilities
Physiotherapy session INR 8162 TXNa1f8cf8c,healthcare
Bond purchase INR 42007 TXN39fc0ccf,investment
Hostel fees INR 7631 TXN7832fb1f,education
BigBasket grocery INR 35955 TXN72d7cd4c,food
Electricity bill payment INR 49828 TXNa0abc23f,utilities
Goibibo hotel INR 19150 TXNbafc54c5,travel
Gaming top up INR 1354 TXN0e541fea,entertainment
RedBus ticket INR 19142 TXNd1dca244,travel
McDonalds meal INR 16315 TXN1c9c3877,food
Event ticket INR 42283 TXN60ddf76d,entertainment
BigBasket grocery INR 34858 TXNf9fe9b8d,food
Physiotherapy session INR 47751 TXN5ca6368f,healthcare
Mobile phone EMI INR 32356 TXN546c7d24,emi
Training program fee INR 11240 TXN5c2cac8e,education
Airtel postpaid payment INR 17001 TXN89fba6e8,utilities
Ola cab INR 47584 TXNda94af93,travel
Diesel purchase INR 5419 TXN71c7e4a6,travel
Dunzo food INR 8055 TXNfd13af05,food
Diesel purchase INR 42886 TXN2e2133bb,travel
Medical test charges INR 11883 TXN61cae0aa,healthcare
Housing loan payment INR 28879 TXN005a8691,emi
Gaming top up INR 38088 TXNfe4e31c5,entertainment
Netflix subscription INR 11841 TXN500168a5,entertainment
Meesho order INR 22519 TXNf726bb4b,shopping
Broadband payment INR 30277 TXNd45986b1,utilities
NPS contribution INR 16165 TXN6887831b,investment
Cafe coffee INR 36260 TXN224ecde3,food
Clothing store bill INR 44903 TXN11fad4be,shopping
Canteen payment INR 30374 TXN9fb0e939,food
Vaccination fee INR 44106 TXN1f696dcf,healthcare
Event ticket INR 16796 TXN4ec4d275,entertainment
Tata Cliq purchase INR 29086 TXNdebac89c,shopping
Tea stall INR 22445 TXNf7321d1c,food
Municipal tax payment INR 6489 TXNdfa2b7b8,utilities
ACT Fibernet bill INR 48230 TXN06cf37ec,utilities
Surgery payment INR 38301 TXNec245509,healthcare
Eye checkup INR 20681 TXN6c660e29,healthcare
Exam fee INR 14975 TXN1103354d,education
Meesho order INR 20622 TXNbea3945a,shopping
Flight ticket booking INR 15485 TXN74599453,travel
Monthly EMI debit INR 2101 TXN8509eeec,emi
ACT Fibernet bill INR 18787 TXN769082d7,utilities
Home loan EMI INR 21602 TXN39531433,emi
IKEA furniture INR 39359 TXN0c81729d,shopping
Stock purchase INR 15549 TXN0d690741,investment
Decathlon sports INR 14657 TXN85d77982,shopping
Cosmetics purchase INR 48847 TXN558e401d,shopping
IKEA furniture INR 2877 TXN2928e22e,shopping
RedBus ticket INR 16318 TXNa5a0fa6c,travel
Steam games purchase INR 34499 TXNdbbc6e12,entertainment
Mutual fund SIP INR 24105 TXNd8f6651e,investment
Society maintenance INR 42140 TXNcdebe976,utilities
Housing loan payment INR 7207 TXN8fe4f86b,emi
Licious meat order INR 29119 TXN11914a85,food
Toll plaza payment INR 16459 TXN1aa0abc6,travel
Certification exam fee INR 46352 TXN9a34f0c2,education
PPF contribution INR 3802 TXNa05b440a,investment
Fruit vendor INR 40317 TXN882f2ab9,food
MedPlus store INR 22276 TXNedb7eb66,healthcare
Apollo pharmacy INR 35908 TXNf662fd1d,healthcare
Semester fee INR 6246 TXNc27a6911,education
MakeMyTrip booking INR 5092 TXN499da86b,travel
Shoppers Stop INR 46104 TXNeb6d1a0b,shopping
YouTube Premium INR 27388 TXN2ea0c7f9,entertainment
Metro card recharge INR 47366 TXNb54c1daa,travel
Study material purchase INR 5747 TXNf6511bf2,education
Vi prepaid recharge INR 8837 TXN89b5d723,utilities
Clothing store bill INR 19631 TXN3830dc65,shopping
OTT subscription INR 4272 TXNad442a33,entertainment
BookMyShow tickets INR 21394 TXN313363e1,entertainment
Housing loan payment INR 18032 TXN1385695a,emi
Lab test diagnostic INR 19969 TXNbf105a50,healthcare
Unacademy plan INR 44684 TXN239a211b,education
BSNL landline INR 45369 TXNb98fb50c,utilities
Pharmacy medicine purchase INR 32246 TXNc2dac023,healthcare
INOX movies INR 48875 TXNc5e86057,entertainment
Stock purchase INR 7835 TXN68cb5ce8,investment
Yatra travel booking INR 14617 TXN2d5aa94d,travel
ELSS investment INR 24679 TXN2616717a,investment
Society maintenance INR 29544 TXN63607bb4,utilities
Rapido bike ride INR 27334 TXN642833d2,travel
Toll plaza payment INR 6026 TXNb0723a0b,travel
JioCinema plan INR 24676 TXN16e68bc2,entertainment
ACT Fibernet bill INR 46194 TXNc87d0f86,utilities
Diesel purchase INR 300 TXN64a93024,travel
Diesel purchase INR 10595 TXNb8e19970,travel
Movie ticket booking INR 4644 TXN80fd79e5,entertainment
Licious meat order INR 4215 TXN7c818f0c,food
Amazon Prime subscription INR 18933 TXNc0572eb4,entertainment
Certification exam fee INR 18622 TXN2acb94f1,education
Swiggy order INR 24857 TXN14ae531a,food
DTH recharge INR 27223 TXN658a034c,utilities
Pharmacy medicine purchase INR 18591 TXNe4de862b,healthcare
Jewellery purchase INR 36957 TXN735caed7,shopping
Gym membership INR 40319 TXN487faf0f,healthcare
Uber ride INR 42927 TXNa4012456,travel
Sweet shop INR 17579 TXN720fd6fe,food
Eye checkup INR 19811 TXN186be883,healthcare
INOX movies INR 32913 TXN81ba849c,entertainment
Spotify premium INR 9427 TXNa86f9027,entertainment
Car loan EMI INR 45693 TXNf7aedf13,emi
Maintenance charges INR 11393 TXNa1e97978,utilities
Online shopping payment INR 46539 TXNa66547ad,shopping
Water bill INR 31854 TXNb8879857,utilities
Pizza delivery INR 8291 TXN2784d638,food
Bakery purchase INR 5617 TXNe2c01769,food
IndiGo flight INR 6512 TXNcbc5350d,travel
Game purchase INR 11808 TXNeb94bc72,entertainment
Online course subscription INR 43243 TXN296f3d4a,education
Indian Oil fuel INR 6761 TXNba3d04d1,travel
Goibibo hotel INR 42716 TXNf25f35ff,travel
Recurring deposit INR 44608 TXNf7b4943e,investment
Bakery purchase INR 4773 TXN6b671566,food
Theme park ticket INR 29145 TXN36f6decf,entertainment
Supermarket purchase INR 37224 TXN02757125,food
Barbeque Nation INR 18806 TXNc3c334cc,food
Clinic visit INR 38433 TXNe5f34342,healthcare
Study material purchase INR 23249 TXNc846fed4,education
University fee INR 23353 TXNf20fa9fa,education
PVR cinemas INR 29858 TXN72b2dab0,entertainment
Monthly EMI debit INR 32513 TXN06736a8a,emi
Gas bill payment INR 907 TXNe37e1c08,utilities
Gift shop INR 49239 TXNf0c173dd,shopping
Restaurant bill INR 4246 TXN59331a3e,food
Burger King INR 5821 TXN55f68fa8,food
Rapido bike ride INR 3749 TXN2f3e99cd,travel
Stationery purchase INR 49560 TXN70643056,shopping
Sovereign gold bond INR 322 TXNe6025dd9,investment
Sweet shop INR 36987 TXN0d1fc439,food
Gift shop INR 4536 TXN24a94930,shopping
Consumer durable EMI INR 24502 TXN2894c660,emi
Dominos pizza INR 18648 TXN8a5dca33,food
Bakery purchase INR 3026 TXN3f03fcc4,food
Coaching class fee INR 1965 TXN2eec347e,education
Gold loan EMI INR 38199 TXN0f1020c9,emi
Home loan EMI INR 36812 TXN49ed1e6c,emi
Nykaa beauty INR 45674 TXNbfd1e797,shopping
Bowling alley INR 30591 TXN3a745d8f,entertainment
Vi prepaid recharge INR 29082 TXNbdab2320,utilities
Tata Power bill INR 40162 TXNf66ce9a2,utilities
SIP installment INR 30108 TXNe75ca4bf,investment
Lab test diagnostic INR 44118 TXN26b183c7,healthcare
Biryani order INR 46288 TXN79e032f9,food
Eye checkup INR 13493 TXNe9975cac,healthcare
Starbucks coffee INR 20117 TXNa585f857,food
Theme park ticket INR 26305 TXNbfbe2533,entertainment
Decathlon sports INR 10903 TXN384229da,shopping
Home loan EMI INR 12234 TXN51a5c150,emi
University fee INR 26526 TXN316492bc,education
Lunch at hotel INR 15464 TXN6f9901a9,food
Personal loan installment INR 687 TXN9f9731d9,emi
Nykaa beauty INR 26280 TXNf46dcac1,shopping
Online course subscription INR 19543 TXN6dd62966,education
Biryani order INR 9120 TXNd075eb81,food
Hospital bill INR 26307 TXN34913bca,healthcare
Food court payment INR 38099 TXNf416b598,food
Doctor consultation INR 25089 TXN2d9f4a66,healthcare
Fixed deposit investment INR 7937 TXN0fed371f,investment
Hotstar subscription INR 43755 TXN29e7bbe2,entertainment
Housing loan payment INR 42847 TXNc9195427,emi
Index fund purchase INR 378 TXN2be30082,investment
LPG cylinder booking INR 30237 TXNe85c6bd4,utilities
Tata Cliq purchase INR 36527 TXN42d07e0e,shopping
Library fee INR 29539 TXNd02d4b7a,education
YouTube Premium INR 23719 TXN6e548e8c,entertainment
PlayStation store INR 46235 TXN4b1767ba,entertainment
Internet recharge INR 3281 TXN8466bc73,utilities
Mobile recharge INR 18693 TXN98f443d0,utilities
Physiotherapy session INR 24777 TXN7b9c8777,healthcare
Blinkit delivery INR 17099 TXN635c6cd4,food
Dominos pizza INR 49079 TXNe9480469,food
Netflix subscription INR 34868 TXNaf6ed541,entertainment
Doctor consultation INR 6294 TXN80e759ac,healthcare
Dominos pizza INR 19731 TXN8a5b83a6,food
Bharat Petroleum fuel INR 26451 TXN84e5f50c,travel
Mall purchase INR 24312 TXN87f9c62d,shopping
Cult Fit subscription INR 29011 TXN096100d6,healthcare
Hotstar subscription INR 48448 TXN88a4efcf,entertainment
Supermarket purchase INR 35581 TXN442bb253,food
Indian Oil fuel INR 19228 TXN44dfa1fc,travel
Sovereign gold bond INR 21179 TXN316a90be,investment
BookMyShow tickets INR 27458 TXN25e9ca92,entertainment
Swiggy order INR 2132 TXN03803a83,food
DTH recharge INR 11560 TXN3de77022,utilities
Coursera subscription INR 29147 TXN00cce531,education
Broadband payment INR 38896 TXNab7553cc,utilities
Sovereign gold bond INR 46582 TXNc8acda48,investment
Haldiram sweets INR 28275 TXN289c21d9,food
Meesho order INR 37447 TXNfbae8e60,shopping
Milk dairy payment INR 9729 TXN3239ca2c,food
Gift shop INR 36786 TXN63bad31a,shopping
Mutual fund SIP INR 630 TXN17182172,investment
Reliance Digital INR 39407 TXN95e69b36,shopping
Electricity bill payment INR 876 TXN1c3c7b07,utilities
Bakery purchase INR 7913 TXN0b26b8dc,food
Event ticket INR 26813 TXN4975f56a,entertainment
Mobile phone EMI INR 48848 TXNa2b874af,emi
Exam fee INR 30769 TXNb7c53cb3,education
Cafe coffee INR 3379 TXN1640ca4b,food
Tuition fees payment INR 39297 TXN7fbce941,education
Car rental INR 8395 TXN20b9dc92,travel
NPS contribution INR 5054 TXNcdfc227c,investment
School fees INR 12663 TXN0ff228c3,education
Personal loan installment INR 29883 TXN2075241a,emi
Amazon Prime subscription INR 17116 TXN53baf27f,entertainment
Zomato dinner INR 41993 TXNb35c0dc6,food
RedBus ticket INR 37002 TXN3f2c0bf3,travel
ELSS investment INR 44781 TXN0f0cb821,investment
Online shopping payment INR 10726 TXNdc3333a8,shopping
Maintenance charges INR 20008 TXNeebef998,utilities
Byjus subscription INR 15932 TXN7e5b0a29,education
Ajio clothing INR 19783 TXN6189b6e8,shopping
Gold loan EMI INR 4766 TXN5afb833d,emi
Car rental INR 20989 TXN2e1bae74,travel
Postpaid bill payment INR 26182 TXN77fe3a64,utilities
Certification exam fee INR 25957 TXN0d5d43a2,education
Clothing store bill INR 19723 TXNdde2124c,shopping
Cab fare payment INR 27533 TXN33e5d91a,travel
Railway reservation INR 14429 TXN9f6ef235,travel
Pantaloons purchase INR 35418 TXN7c53cb47,shopping
Cosmetics purchase INR 36890 TXNd01234d1,shopping
Hospital bill INR 8575 TXNdac57b4a,healthcare
Credit card EMI INR 7205 TXNaaf30041,emi
Tata Power bill INR 47409 TXN829e8650,utilities
Two wheeler loan payment INR 48832 TXN1e614a8e,emi
Flipkart order INR 19911 TXN4ddaf34b,shopping
Udemy course purchase INR 24215 TXN11c57487,education
PlayStation store INR 27843 TXN331f112c,entertainment
Lunch at hotel INR 20783 TXNe3b36a45,food
Jewellery purchase INR 16946 TXN1afa35f8,shopping
Broadband payment INR 5197 TXNfc72de77,utilities
Dominos pizza INR 25294 TXNe3068caf,food
Starbucks coffee INR 31736 TXN7d953e47,food
Unacademy plan INR 19856 TXN88e9bced,education
Vi prepaid recharge INR 8913 TXN6eca9218,utilities
YouTube Premium INR 45791 TXNb19d0857,entertainment
Dental clinic charges INR 43631 TXN3c8c26ee,healthcare
Library fee INR 25040 TXN3683197e,education
Gaming top up INR 9877 TXN33d786a0,entertainment
YouTube Premium INR 37750 TXN04927b50,entertainment
Sweet shop INR 20976 TXNbdf25857,food
Restaurant bill INR 21704 TXN13a32e97,food
Gas bill payment INR 37471 TXNa679903b,utilities
Petrol pump HP INR 12223 TXN78ee2242,travel
Lab test diagnostic INR 33582 TXN88c20c93,healthcare
Sewage charges INR 37592 TXN0fc9418d,utilities
Electronics shopping INR 5819 TXN2666708b,shopping
