description,amount
Swiggy order INR 480 TXN9a21,480
Uber ride to office INR 260 TXN3b17,260
Netflix subscription INR 199 TXNc4d2,199
Apollo pharmacy medicines INR 640 TXNd5e1,640
Home loan EMI INR 24000 TXNe6f3,24000
Amazon purchase INR 1899 TXNf7a8,1899
Electricity bill payment INR 2340 TXNa9b2,2340
Zomato dinner INR 720 TXNb1c3,720
Mutual fund SIP INR 5000 TXNc2d4,5000
Ola cab airport INR 890 TXNd3e5,890
College fees payment INR 45000 TXNe4f6,45000
BookMyShow tickets INR 700 TXNf5a7,700
BigBasket grocery INR 2100 TXNa6b8,2100
Jio recharge INR 349 TXNb7c9,349
Croma electronics INR 12999 TXNc8d1,12999
Doctor consultation INR 800 TXNd9e2,800
Petrol pump INR 3000 TXNe1f4,3000
Spotify premium INR 199 TXNf2a5,199
Credit card EMI INR 4500 TXNa3b6,4500
Udemy course purchase INR 499 TXNb4c7,499
